gene,cluster_mean,other_mean,log2fc,pvalue,padj
TRNA_Val,2.982633502158505,2.135787866162827,0.846845635995678,0.0006150079632002576,0.00839178637673561
SNORD32A,4.548521835240319,3.768709299391683,0.7798125358486359,8.80660982642906e-05,0.0012134643405925577
septin 9/TNRC6C fusion,1.240553733857681,0.4660978043025841,0.774455929555097,0.012495958091583987,0.14258327042393337
DQ586951,0.01678554597624402,-0.7036120750210109,0.7203976209972549,0.023069113843582505,0.23005757634319032
JC002043,-1.4118206370821271,-2.0036313547610916,0.5918107176789644,0.0009353386864068171,0.012667498269392896
MIR6739,-0.2397465797247315,-0.7939829831472671,0.5542364034225356,0.005076439964587947,0.0641360292701625
SNORD87,0.6891782183128055,0.13522720044771722,0.5539510178650883,0.016512575427001335,0.17897429259406059
AY006094,-1.468070580058551,-2.011888222709466,0.5438176426509149,0.0049501738490183725,0.06256638650694188
SNORD65,-0.11194033091849104,-0.649098215442923,0.537157884524432,0.011848786599147407,0.13620588394140956
SNORD52,0.2836198974296114,-0.2491397808153147,0.5327596782449261,0.02203112157721601,0.22272864968253264
DQ570592,-2.061522815566687,-2.5894156960944184,0.5278928805277312,0.0007818091248824912,0.010634878201629833
MIR1273A,-0.5306999946627953,-1.0522512934281187,0.5215512987653235,0.001024409823226822,0.013849500303940368
MIR1285-1,0.008597157272968755,-0.5099113271462792,0.5185084844192479,0.008287917054824881,0.10004167379631207
DQ574292,0.7550946366281848,0.2437915992746801,0.5113030373535047,0.02219793335790986,0.2239100011344245
SNORD36A,5.167247328055927,4.689790332432442,0.4774569956234851,0.030569518603812924,0.2733279813750539
T-cell antigen receptor VJ junction a...,-0.8875756386559939,-1.3603354759857536,0.4727598373297597,0.01365186096672802,0.1534467184042463
U7,-0.9875380882057238,-1.458773395115594,0.47123530690987014,0.03475362353343767,0.297269935412024
SNORD33,2.1181091680544526,1.6516115517994137,0.46649761625503894,0.027177641713681273,0.2524339185954777
DQ587139,-1.0259611681171537,-1.4820947656945334,0.4561335975773797,0.026828624238768993,0.25070102547066453
MIR4722,-1.6679806161043875,-2.093031431042807,0.42505081493841956,0.009045293524751096,0.10812664006252619
MIR7112-2,-1.6409757528462041,-2.06221671683536,0.42124096398915567,0.008812016005799887,0.10561260801024419
MIR142,-1.8718672622622428,-2.2911266075180405,0.4192593452557978,0.002178528053460295,0.028796688809444113
DQ593032,-1.1372928709229828,-1.5420928063026451,0.4047999353796623,0.015205369729058973,0.1672586389730919
DQ589802,-2.5636077850752863,-2.9483684177688936,0.3847606326936073,0.005129496916952088,0.06470198337680529
SNORA52,0.6595847152531639,0.27953671054609286,0.380048004707071,0.01129755622891481,0.1307948510898183
MIR6832,-1.834135541651755,-2.206331665062521,0.372196123410766,0.00928714152914232,0.11067059340450722
MIR3159,-1.8302688576061055,-2.1973230998582816,0.3670542422521761,0.01345158365293703,0.1515820114815266
SNORA27,0.2302350613537321,-0.13639188105940356,0.36662694241313565,0.02710642936725611,0.2519999826567349
MIR6887,-1.8795125770725634,-2.2411805747389755,0.3616679976664121,0.013442521038057884,0.15153521250535304
IGHM,-2.274825007540797,-2.633837569959648,0.35901256241885093,0.0034139855836556343,0.04410743618230689
DQ588120,-2.6211792408831354,-2.977097930079096,0.3559186891959607,0.0031379680926858925,0.04078037270768424
SNORD15A,-1.6405611217482514,-1.9836489181226258,0.34308779637437437,0.0009338844970092697,0.012653356014131305
KC823651,6.064240236153846,5.724097147957247,0.3401430881965988,0.03507068597280662,0.2986545326349803
DQ586009,-2.7577222182499805,-3.097566826628174,0.3398446083781934,0.0017175996859335244,0.022840893712338745
SNORA31,-0.8024797923356092,-1.141668339266258,0.3391885469306489,0.022294585562222646,0.2244733225940601
SNORD24,-1.7305665192042394,-2.0689390126455938,0.33837249344135434,0.030332239212568005,0.2718910698031105
SNORD15B,-0.24905746911010992,-0.5816633716722346,0.33260590256212463,0.013914732784525083,0.15583389963511127
SNORD41,-1.926085177010001,-2.2565688552357965,0.3304836782257956,0.020367004054675144,0.20905473234038854
SLC34A2,0.9761783203259671,0.6498378659196743,0.3263404544062928,0.003365050440631876,0.043548126561887994
MIR6875,-2.024029165372218,-2.349344458034921,0.32531529266270276,0.016335065657285132,0.17727911445573333
contactin 1,0.18922044703958651,-0.135842110912677,0.3250625579522635,0.01957859924186108,0.20352507112890114
MIR570,-2.2958473940024002,-2.6094292418657306,0.3135818478633303,0.003804406080456362,0.048905869918069805
FABP7,-0.24242590184106724,-0.5541748872364198,0.31174898539535256,0.00975452221131813,0.11535376553729275
SNORA3,-0.7930477551475531,-1.0982581915739056,0.3052104364263525,0.02666528393608972,0.24962814336894426
MIR6773,-2.4320791474134333,-2.733973921405769,0.30189477399233544,0.006726433342184151,0.08304454604260553
RP11-53O19.1,1.7246779955569913,2.02609742696234,-0.3014194314053489,0.021206599129230327,0.21573555772040015
EEF1A2,3.85120774487653,4.1591270324212815,-0.3079192875447516,0.007309662746712181,0.08952886534812361
PYDC1,1.3249529174388985,1.6509362986398461,-0.3259833812009476,0.026702676069277335,0.2498266434914353
5S_rRNA,0.52753653295963,0.9325785734144457,-0.40504204045481573,0.01718573789841519,0.18398813743828815
TRNA_Asp,-2.220637465213451,-1.7582255292995441,-0.4624119359139067,0.005703635945707997,0.07147491817469644
DQ576791,-1.3916042672118205,-0.7294742613384967,-0.6621300058733238,0.011654193829121764,0.1344336302977855
