gene,cluster_mean,other_mean,log2fc,pvalue,padj
septin 9/TNRC6C fusion,1.366958992097304,0.32017918400271284,1.0467798080945911,6.315600837552424e-05,0.0008493726355165819
D64149,1.8054309012423175,1.2282273091960558,0.5772035920462617,0.00228013164261969,0.023280272295553003
MIR4459,-0.7489201402787636,-1.3154255652465574,0.5665054249677938,0.0028423198974223667,0.02823319733626778
M37726,0.8404054077766244,0.36925847639522014,0.4711469313814043,0.02126369736730527,0.1351253900024454
DQ598167,1.7560899541963004,1.306783284406699,0.4493066697896013,0.06548577914855566,0.28686042767813946
TCRA,5.688216346710252,5.243574726850184,0.444641619860068,0.000999989743920062,0.011272711265921371
AY006094,-1.5965521563510872,-2.0374795332557927,0.4409273769047055,0.006975326602039462,0.0591628072470316
TCRVB,1.7422862495926799,1.331353672731401,0.4109325768612788,0.04113128946908475,0.21169238252200484
TCRB,6.562217822281416,6.167645393444761,0.3945724288366552,0.014023562725972032,0.10075355296488053
HV975509,-2.1650420408723487,-2.5322145946019363,0.36717255372958757,0.021376920069252153,0.13559363706072086
AY190091,0.380371162760451,0.0202544212993376,0.36011674146111344,0.0017623658431144566,0.01857132869502482
FDCSP,2.0176228375857153,1.6587654379175585,0.3588573996681568,0.002432124399872761,0.024628451313016005
T cell antigen receptor beta-chain,3.6499007756631046,3.2931755636186937,0.3567252120444109,0.0476119643634309,0.2335574189569763
AY748447,-1.1532919471965968,-1.5034582547650126,0.3501663075684158,0.0003077666552199233,0.003852075350106623
FLJ00385,2.7104177487846464,2.3657129299044706,0.3447048188801758,0.00063222380659634,0.007496576177716494
HTJA258,-1.9618327748764648,-2.3058472366953238,0.344014461818859,0.008089598170931802,0.06633048941558535
TRB@,4.002846281687899,3.6667750498387672,0.33607123184913146,0.014464144560907716,0.1032251779874576
SNORA48,1.1661081804715756,1.4709576263272417,-0.3048494458556661,0.010555860468984948,0.08165579783840111
DL490887,-2.4039439028032965,-2.097266244476291,-0.30667765832700544,0.001233902544649171,0.013538713843084488
DQ570592,-2.7291073900926013,-2.422163472818502,-0.3069439172740993,0.020786142680110194,0.13282904633987602
SNORD110,-0.9292259281881408,-0.6210599964179553,-0.3081659317701855,0.06992517198157458,0.2974831748051412
MIR4690,-2.615873402302222,-2.300194637993591,-0.31567876430863073,0.0084737988357807,0.06850282898542988
MIR4691,-2.3728517696686375,-2.053711851598332,-0.3191399180703054,0.005077353564074907,0.04582237361262339
JA611268,-0.9402496327625143,-0.6191048506371127,-0.32114478212540154,0.029939761228472746,0.17054036593127977
SNORD14D,-2.279663400362978,-1.9565261604093513,-0.32313723995362675,0.007857107738865162,0.06491157129552282
SNORD88B,-0.910468905360582,-0.5829814962385104,-0.32748740912207164,0.019963148500427852,0.1290663130426698
SNORD46,0.47765009666389635,0.807962479143791,-0.3303123824798947,0.03935491819015901,0.20563561028258978
DQ593116,-0.47924519744892424,-0.1479377600780345,-0.33130743737088975,0.01296102060269428,0.09518095108737908
SNORA52,0.09435007272843793,0.4298894797839425,-0.33553940705550456,0.008081266697767483,0.06630204588692008
SNORA24,1.6520984415323208,1.989542820525892,-0.33744437899357127,0.006909230595207063,0.05874749375235978
SNORD54,-1.3143795206849316,-0.9744148147752855,-0.3399647059096461,0.05209084252866824,0.24723725275216749
MIR647,-1.4588731786083324,-1.113105833570268,-0.3457673450380645,0.012607621023966604,0.09318348249634321
SNORA3,-1.3068620256073185,-0.9563224165955846,-0.35053960901173387,0.002567840699971187,0.025866972325264585
MIR4728,-0.602264347660657,-0.250841542881161,-0.35142280477949595,0.05683598054575068,0.26159259286542635
PHGR1,0.8774856707990986,1.230022602446154,-0.35253693164705546,0.003971599212034173,0.03739579306877205
MIR4784,-0.2020176228788117,0.1644114043880145,-0.3664290272668262,0.03473755953552277,0.18903236656894068
TRNA_Lys,-1.6833313680563982,-1.315667960685671,-0.3676634073707272,0.017357933684209816,0.11718123866210324
SNORD22,0.046292643250023316,0.4191144825181008,-0.3728218392680775,0.003854988784300478,0.036464673253887296
DQ574810,-2.5578367011378655,-2.173599397105269,-0.3842373040325966,0.014468898899011573,0.10323221556125571
MIR611,-2.2983020935891734,-1.9109304014896091,-0.38737169209956424,0.0034389247597318554,0.033159141739807475
MIR6807,-1.4032803779062217,-1.0141641220108633,-0.3891162558953585,0.0033597037419388948,0.03255800816167786
MIR6840,-2.0981974614531254,-1.7074453014291553,-0.39075216002397006,0.005642176379382695,0.04989850256436874
SNORD58C,-0.6071722151128283,-0.21265868153022993,-0.39451353358259833,0.015728660012015123,0.10936361596549826
MIR3916,0.7434636564425722,1.1409317891072084,-0.3974681326646362,0.008860773559403462,0.07103892674355208
SNORD12B,-0.9950174124185248,-0.5937444887617798,-0.40127292365674505,0.006750971296395318,0.057751865039701075
SNORD44,0.29518650866124485,0.7117852845048198,-0.41659877584357496,0.052118449907508045,0.24730115342040948
DQ571333,-0.7790472659645706,-0.35692848534341726,-0.4221187806211534,0.0008940682825074914,0.010152839418540737
SNORD34,0.0697246377852474,0.49526287328530777,-0.42553823550006037,0.03842956286393188,0.20237646439093285
SNORD32A,3.5760698855902935,4.010923899409127,-0.43485401381883326,0.009661965813471467,0.07609506885246155
MIR4426,-1.7916847434446945,-1.346004590938131,-0.44568015250656345,0.006178476185467185,0.053626108348140834
SNORD87,-0.10418424357588887,0.34358147712176557,-0.4477657206976544,0.02175615523813669,0.13726083073220474
DQ595741,-2.5680050935876366,-2.115654794661663,-0.4523502989259738,0.0037935320485266493,0.036005542560190604
MIR6727,1.4290603986448174,1.882217219098369,-0.45315682045355166,0.0326623260315231,0.18121925093707722
SNORD48,1.6945530984352937,2.152533571083154,-0.45798047264786046,0.038981599724460095,0.20445709720353847
SNORD38A,-0.912898347288202,-0.4511793008363326,-0.46171904645186934,0.007865723075377938,0.06493636041227867
MIR6777,-0.8081908679873595,-0.3457430612297391,-0.4624478067576204,0.011973011519138564,0.08966323615550803
SNORD79,1.2646476231865584,1.7292846838596003,-0.4646370606730419,0.019228706642987068,0.12545876584531676
DQ582231,-2.1510521806773375,-1.6813894645600749,-0.4696627161172626,0.02131155049617059,0.13523683390397806
DL489966,-1.9552483340544498,-1.484997483725398,-0.4702508503290517,0.004314591040674153,0.04003904163271429
MIR6821,-0.3082632608446574,0.1690487729986533,-0.47731203384331067,0.006881487641740239,0.05857376594479993
DQ593048,12.72451407285312,13.21822399152904,-0.4937099186759202,0.060071692562731496,0.2709898846753446
SNORD95,4.146874638531169,4.648393934164725,-0.5015192956335559,0.017081125727190494,0.11589556948114632
SNORD60,0.14275150421900598,0.649963529752937,-0.5072120255339311,0.005445566273253291,0.048423337085555414
MIR1204,-1.0425555561435205,-0.5302746760249559,-0.5122808801185645,0.005209622786255555,0.04670200618581984
MIR3936,0.8966110018772451,1.422888750046086,-0.526277748168841,0.0003768927769730985,0.004654980216596513
MIR8075,1.6310698313443737,2.171583447879247,-0.5405136165348734,0.0019981955026987046,0.020723661320481573
MIR4664,1.893331770044682,2.4431500543682705,-0.5498182843235886,0.006347879788404092,0.05482017618049589
JA611308,-1.8782336591053597,-1.326007351259726,-0.5522263078456338,0.0018037136583515308,0.018961724136587192
MIR3654,-1.747925531835062,-1.180150220645279,-0.567775311189783,0.0013410961827647445,0.014595533738023215
SNORA27,-0.5134946614707265,0.07887536238089493,-0.5923700238516214,2.3130568069252124e-05,0.0003151986681931421
MIR631,0.5493315354721094,1.1533542811357893,-0.6040227456636799,0.0018357199756966378,0.019254206302653305
MIR6748,-0.34897250386059586,0.26841141626485526,-0.6173839201254512,0.00047143004399533727,0.005733131721007125
DM110819,-0.516304304422933,0.12132819172352736,-0.6376324961464603,0.0017143187631996771,0.018145558513771615
DQ590013,13.355041122040156,14.027779632974786,-0.6727385109346304,0.036096534324230725,0.1940636704262988
DQ584545,5.531436498630315,6.259504263897188,-0.7280677652668732,0.05168397783166981,0.2457975309359767
DQ597999,-2.996508345825433,-2.2543216105096824,-0.7421867353157507,2.960502600899436e-06,4.075642853557587e-05
MIR4523,-0.9078099843596587,-0.12096211283421628,-0.7868478715254423,6.981428583993364e-06,9.585489023352098e-05
DQ572382,1.1002706773909767,2.0279776706816217,-0.927706993290645,0.007730241751241791,0.06408646565997257
DQ586951,-1.6443571265723662,-0.20993959530188058,-1.4344175312704857,8.009647493183492e-08,1.1046370414526743e-06
DM110804,2.9346973327421697,4.5565902566811785,-1.6218929239390087,1.4652839620229297e-12,2.0217250553347215e-11
